filename,station_name,version,timestep,modelruntime
DE-Msr_2025-07-25-2040_config_vMLWV.log,DE-Msr,vMLWV,87697,87696
FR-Bil_2025-07-25-2040_config_vMLWV.log,FR-Bil,vMLWV,105217,105216
FI-Var_2025-07-25-2040_config_vMLWV.log,FI-Var,vMLWV,140257,140256
FR-FBn_2025-07-25-2040_config_vMLWV.log,FR-FBn,vMLWV,52609,52608
FI-Sod_2025-07-25-2040_config_vMLWV.log,FI-Sod,vMLWV,35089,35088
FI-Ken_2025-07-25-2040_config_vMLWV.log,FI-Ken,vMLWV,87697,87696
NL-Loo_2025-07-25-2040_config_vMLWV.log,NL-Loo,vMLWV,8287,8286
FI-Hyy_2025-07-25-2040_config_vMLWV.log,FI-Hyy,vMLWV,122737,122736
CZ-BK1_2025-07-25-2040_config_vMLWV.log,CZ-BK1,vMLWV,52609,52608
CH-Dav_2025-07-25-2041_config_vMLWV.log,CH-Dav,vMLWV,105217,105216
SE-Htm_2025-07-25-2041_config_vMLWV.log,SE-Htm,vMLWV,122737,122736
IT-SR2_2025-07-25-2041_config_vMLWV.log,IT-SR2,vMLWV,105217,105216
FI-Let_2025-07-25-2041_config_vMLWV.log,FI-Let,vMLWV,140257,140256
SE-Svb_2025-07-25-2041_config_vMLWV.log,SE-Svb,vMLWV,105217,105216
DE-RuW_2025-07-25-2041_config_vMLWV.log,DE-RuW,vMLWV,227953,227952
IT-Ren_2025-07-25-2041_config_vMLWV.log,IT-Ren,vMLWV,70129,70128
BE-Bra_2025-07-25-2041_config_vMLWV.log,BE-Bra,vMLWV,25643,25642
NO-Hur_2025-07-25-2041_config_vMLWV.log,NO-Hur,vMLWV,35089,35088
SE-Nor_2025-07-25-2041_config_vMLWV.log,SE-Nor,vMLWV,122737,122736
DE-Tha_2025-07-25-2041_config_vMLWV.log,DE-Tha,vMLWV,87697,87696
DE-Msr_2025-07-25-2040_config_vbigleaf.log,DE-Msr,vbigleaf,87697,87696
FR-Bil_2025-07-25-2040_config_vbigleaf.log,FR-Bil,vbigleaf,105217,105216
FI-Var_2025-07-25-2040_config_vbigleaf.log,FI-Var,vbigleaf,140257,140256
FR-FBn_2025-07-25-2040_config_vbigleaf.log,FR-FBn,vbigleaf,52609,52608
FI-Sod_2025-07-25-2040_config_vbigleaf.log,FI-Sod,vbigleaf,35089,35088
FI-Ken_2025-07-25-2040_config_vbigleaf.log,FI-Ken,vbigleaf,87697,87696
NL-Loo_2025-07-25-2040_config_vbigleaf.log,NL-Loo,vbigleaf,35089,35088
FI-Hyy_2025-07-25-2040_config_vbigleaf.log,FI-Hyy,vbigleaf,122737,122736
CZ-BK1_2025-07-25-2040_config_vbigleaf.log,CZ-BK1,vbigleaf,52609,52608
CH-Dav_2025-07-25-2041_config_vbigleaf.log,CH-Dav,vbigleaf,105217,105216
SE-Htm_2025-07-25-2041_config_vbigleaf.log,SE-Htm,vbigleaf,122737,122736
FI-Let_2025-07-25-2041_config_vbigleaf.log,FI-Let,vbigleaf,140257,140256
IT-SR2_2025-07-25-2041_config_vbigleaf.log,IT-SR2,vbigleaf,105217,105216
SE-Svb_2025-07-25-2041_config_vbigleaf.log,SE-Svb,vbigleaf,105217,105216
DE-RuW_2025-07-25-2041_config_vbigleaf.log,DE-RuW,vbigleaf,227953,227952
IT-Ren_2025-07-25-2041_config_vbigleaf.log,IT-Ren,vbigleaf,70129,70128
BE-Bra_2025-07-25-2041_config_vbigleaf.log,BE-Bra,vbigleaf,87697,87696
NO-Hur_2025-07-25-2041_config_vbigleaf.log,NO-Hur,vbigleaf,35089,35088
SE-Nor_2025-07-25-2041_config_vbigleaf.log,SE-Nor,vbigleaf,122737,122736
DE-Tha_2025-07-25-2041_config_vbigleaf.log,DE-Tha,vbigleaf,87697,87696
BE-Dor_2025-07-25-2039_config_vMLWV.log,BE-Dor,vMLWV,52609,52608
IT-Tor_2025-07-25-2039_config_vMLWV.log,IT-Tor,vMLWV,157825,157824
FR-Lqu_2025-07-25-2039_config_vMLWV.log,FR-Lqu,vMLWV,52609,52608
IT-Niv_2025-07-25-2039_config_vMLWV.log,IT-Niv,vMLWV,105217,105216
FR-Tou_2025-07-25-2039_config_vMLWV.log,FR-Tou,vMLWV,80866,80865
FR-Mej_2025-07-25-2039_config_vMLWV.log,FR-Mej,vMLWV,105217,105216
IT-MBo_2025-07-25-2039_config_vMLWV.log,IT-MBo,vMLWV,52609,52608
FR-CLt_2025-07-25-2039_config_vMLWV.log,FR-CLt,vMLWV,105217,105216
FR-Lus_2025-07-25-2039_config_vMLWV.log,FR-Lus,vMLWV,52609,52608
DE-RuR_2025-07-25-2039_config_vMLWV.log,DE-RuR,vMLWV,245473,245472
DE-Gri_2025-07-25-2039_config_vMLWV.log,DE-Gri,vMLWV,140257,140256
DE-GsB_2025-07-25-2040_config_vMLWV.log,DE-GsB,vMLWV,52609,52608
BE-Dor_2025-07-25-2039_config_vbigleaf.log,BE-Dor,vbigleaf,52609,52608
IT-Tor_2025-07-25-2039_config_vbigleaf.log,IT-Tor,vbigleaf,157825,157824
FR-Lqu_2025-07-25-2039_config_vbigleaf.log,FR-Lqu,vbigleaf,52609,52608
IT-Niv_2025-07-25-2039_config_vbigleaf.log,IT-Niv,vbigleaf,105217,105216
FR-Tou_2025-07-25-2039_config_vbigleaf.log,FR-Tou,vbigleaf,122737,122736
FR-Mej_2025-07-25-2039_config_vbigleaf.log,FR-Mej,vbigleaf,105217,105216
IT-MBo_2025-07-25-2039_config_vbigleaf.log,IT-MBo,vbigleaf,52609,52608
FR-CLt_2025-07-25-2039_config_vbigleaf.log,FR-CLt,vbigleaf,105217,105216
FR-Lus_2025-07-25-2039_config_vbigleaf.log,FR-Lus,vbigleaf,52609,52608
DE-RuR_2025-07-25-2039_config_vbigleaf.log,DE-RuR,vbigleaf,245473,245472
DE-Gri_2025-07-25-2039_config_vbigleaf.log,DE-Gri,vbigleaf,140257,140256
DE-GsB_2025-07-25-2040_config_vbigleaf.log,DE-GsB,vbigleaf,52609,52608
